상품명,가격,카테고리,평점
무선 마우스,29900,전자제품,4.5
기계식 키보드,89000,전자제품,4.8
게이밍 키보드,150000,전자제품,4.7
무선 이어폰,120000,전자제품,4.3
게이밍 모니터,350000,전자제품,4.6
USB-C 허브,45000,액세서리,4.4
노트북 스탠드,32000,액세서리,4.5
스마트워치,299000,전자제품,4.2
블루투스 스피커,79000,음향기기,4.6
외장 SSD 1TB,159000,저장장치,4.9
무선 마우스,29900,전자제품,4.5
기계식 키보드,89000,전자제품,4.8
게이밍 키보드,150000,전자제품,4.7
무선 이어폰,120000,전자제품,4.3
게이밍 모니터,350000,전자제품,4.6
USB-C 허브,45000,액세서리,4.4
노트북 스탠드,32000,액세서리,4.5
스마트워치,299000,전자제품,4.2
블루투스 스피커,79000,음향기기,4.6
외장 SSD 1TB,159000,저장장치,4.9
무선 마우스,29900,전자제품,4.5
기계식 키보드,89000,전자제품,4.8
게이밍 키보드,150000,전자제품,4.7
무선 이어폰,120000,전자제품,4.3
게이밍 모니터,350000,전자제품,4.6
USB-C 허브,45000,액세서리,4.4
노트북 스탠드,32000,액세서리,4.5
스마트워치,299000,전자제품,4.2
블루투스 스피커,79000,음향기기,4.6
외장 SSD 1TB,159000,저장장치,4.9
무선 마우스,29900,전자제품,4.5
기계식 키보드,89000,전자제품,4.8
게이밍 키보드,150000,전자제품,4.7
무선 이어폰,120000,전자제품,4.3
게이밍 모니터,350000,전자제품,4.6
USB-C 허브,45000,액세서리,4.4
노트북 스탠드,32000,액세서리,4.5
스마트워치,299000,전자제품,4.2
블루투스 스피커,79000,음향기기,4.6
외장 SSD 1TB,159000,저장장치,4.9
무선 마우스,29900,전자제품,4.5
기계식 키보드,89000,전자제품,4.8
게이밍 키보드,150000,전자제품,4.7
무선 이어폰,120000,전자제품,4.3
게이밍 모니터,350000,전자제품,4.6
USB-C 허브,45000,액세서리,4.4
노트북 스탠드,32000,액세서리,4.5
스마트워치,299000,전자제품,4.2
블루투스 스피커,79000,음향기기,4.6
외장 SSD 1TB,159000,저장장치,4.9
